date,statement_count
2020-12-31,3
2021-03-31,4
2021-06-30,4
2021-09-30,4
2021-12-31,4
2022-03-31,4
2022-06-30,4
2022-09-30,4
2022-12-31,4
2023-03-31,4
2023-06-30,4
2023-09-30,4
2023-12-31,4
2024-03-31,4
2024-06-30,4
2024-09-30,4
2024-12-31,4
2025-03-31,4
2025-06-30,4
2025-09-30,4
2025-12-31,1
